# key	provider	plan hint(sub|local|-)  scripts/gen-prices.py
api.tbox.cn	bailing	-
api.tbox.cn/api/llm	bailing	-
api.temprhq.io	tempr	-
api.tensorx.ai	tensorx	-
api.thegrid.ai	the-grid-ai	-
api.together.xyz	togetherai	-
api.tokenfactory.nebius.com	nebius	-
api.tokengo.com	tokengo	-
api.tokenrouter.com	tokenrouter	-
api.trustedrouter.com	trustedrouter	-
api.unorouter.com	unorouter	-
api.upstage.ai	upstage	-
api.upstage.ai/v1/solar	upstage	-
api.venice.ai	venice	-
api.vivgrid.com	vivgrid	-
api.vultrinference.com	vultr	-
api.wallabytoken.com	wallaby	-
api.x.ai	xai	-
api.xiaomimimo.com	xiaomi	-
api.z.ai	zai	-
api.z.ai/api/coding/paas	zai-coding-plan	sub
api.z.ai/api/paas	zai	-
api.zeldoc.ai	zeldoc	-
apihub.agnes-ai.com	agnes	-
apis.iflow.cn	iflowcn	-
app.frogbot.ai	frogbot	-
app.frogbot.ai/api	frogbot	-
arcee	arcee	-
ark.cn-beijing.volces.com	volcengine	-
ark.cn-beijing.volces.com/api	volcengine	-
ark.cn-beijing.volces.com/api/coding	volcengine-coding-plan	sub
atomic-chat	atomic-chat	-
auriko	auriko	-
azure	azure	-
azure-cognitive-services	azure-cognitive-services	-
bailing	bailing	-
baseten	baseten	-
bedrock	amazon-bedrock	-
berget	berget	-
blueclaw	blueclaw	-
bothub	bothub	-
cc.freemodel.dev	freemodel	-
cerebras	cerebras	-
chat.d.run	drun	-
chatgpt.com/backend-api/codex	openai	sub
chutes	chutes	-
clarifai	clarifai	-
claudinio	claudinio	-
cli-chat-proxy.grok.com	xai	sub
cline-pass	cline-pass	sub
cloud-api.near.ai	nearai	-
cloudcode-pa.googleapis.com	google	sub
cloudferro-sherlock	cloudferro-sherlock	-
cloudflare-ai-gateway	cloudflare-ai-gateway	-
cloudflare-workers-ai	cloudflare-workers-ai	-
codestral.mistral.ai	mistral	-
coding-intl.dashscope.aliyuncs.com	alibaba-coding-plan	sub
coding-plan-endpoint.kuaecloud.net	kuae-cloud-coding-plan	sub
coding.dashscope.aliyuncs.com	alibaba-coding-plan-cn	sub
cohere	cohere	-
coralbricks	coralbricks	-
cortecs	cortecs	-
crof	crof	-
crof.ai	crof	-
crossmodel	crossmodel	-
crusoe	crusoe	-
daoxe	daoxe	-
daoxe.com	daoxe	-
dashscope-intl.aliyuncs.com	alibaba	-
dashscope-intl.aliyuncs.com/compatible-mode	alibaba	-
dashscope.aliyuncs.com	alibaba-cn	-
dashscope.aliyuncs.com/compatible-mode	alibaba-cn	-
databricks	databricks	-
deepinfra	deepinfra	-
deepseek	deepseek	-
developer.amd.com.cn	amd	-
developer.amd.com.cn/radeon/api	amd	-
digitalocean	digitalocean	-
dinference	dinference	-
dots	dots	-
drun	drun	-
ebcloud	ebcloud	-
echo	echo	-
echo.tracerml.ai	echo	-
edenai	edenai	-
empiriolabs	empiriolabs	-
evroc	evroc	-
fastrouter	fastrouter	-
fireworks-ai	fireworks-ai	-
freemodel	freemodel	-
friendli	friendli	-
frogbot	frogbot	-
gateway.ai.cloudflare.com	cloudflare-ai-gateway	-
generativelanguage.googleapis.com	google	-
github-copilot	github-copilot	sub
gitlab	gitlab	-
gmicloud	gmicloud	-
go.fastrouter.ai	fastrouter	-
go.fastrouter.ai/api	fastrouter	-
google	google	-
google-vertex	google-vertex	-
google-vertex-anthropic	google-vertex-anthropic	-
greenpt	greenpt	-
groq	groq	-
helicone	helicone	-
hetzner	hetzner	-
hpc-ai	hpc-ai	-
huggingface	huggingface	-
hyper	hyper	-
hyper.charm.land	hyper	-
iflowcn	iflowcn	-
impossibl	impossibl	-
inception	inception	-
inceptron	inceptron	-
inco	inco	-
infer	infer	-
infer.flow7.org	infer	-
inference	inference	-
inference.baseten.co	baseten	-
inference.coralbricks.ai	coralbricks	-
inference.do-ai.run	digitalocean	-
inference.generativeai.us-chicago-1.oci.oraclecloud.com	oci	-
inference.generativeai.us-chicago-1.oci.oraclecloud.com/openai	oci	-
inference.hetzner.com	hetzner	-
inference.hetzner.com/api	hetzner	-
inference.net	inference	-
inference.poolside.ai	poolside	-
inference.tinfoil.sh	tinfoil	-
inference.us-west.modal.direct	modal	-
inferx	inferx	-
